borrower_id,gender,age,education_level,immigration_status,marital_status,dependents,industry_sector,employment_status,annual_income,income_decile,years_with_current_employer,total_years_employment,income_type,assets,total_liabilities,net_worth,liquid_assets,number_of_open_loans,total_value_of_open_loans,delinquencies_past_12mo,credit_score,credit_utilization,property_value,mortgage_amount,loan_to_value,monthly_payment,interest_rate,term_years,mortgage_start_year,risk_category,cluster_id,after_stress_risk_category
B00025,Male,20,College or CEGEP certificate or diploma,Long-term immigrant,Single,3,Tech,Employed,83418.59,8,9,13,Salaried,254000,159300.87,94699.13,69263.85,6,165374.52,0,707,13.02,763076,625358,81.95,1989.37,5.86,30,2023,,,
B00026,Female,24,Bachelor's degree,Canadian-born,Single,3,Tech,Employed,86999.26,8,3,11,Salaried,272000,74444.47,197555.53,85187.89,2,77485.86,0,620,5.54,702615,622694,88.63,2330.45,7.44,20,2018,,,
B00027,Male,20,University certificate or diploma below a bachelor's degree,Canadian-born,Single,1,Construction,Employed,45086.92,5,5,21,Salaried,220000,148856.8,71143.2,74955.57,1,153082.99,0,664,10.77,797814,587203,73.6,464.33,5.15,20,2022,,,
B00028,Female,23,Master's degree,Canadian-born,Married,0,Logistics,Employed,70663.42,7,9,19,Salaried,257000,131080.98,125919.02,42958.19,1,142364.09,0,683,8.69,926624,686362,74.07,1819.78,4.28,30,2021,,,
B00029,Female,23,College or CEGEP certificate or diploma,Canadian-born,Single,0,Construction,Self-employed,146266.07,10,5,10,Salaried,299000,167095.16,131904.84,75641.92,0,0,0,686,14.99,895865,625078,69.77,1909.07,4.64,15,2019,,,
B00030,Male,22,First professional degree,Canadian-born,Married,3,Manual Labor,Employed,78042.02,9,6,8,Salaried,259000,178329.58,80670.42,27605.28,1,195336.74,0,752,39.99,614411,438677,71.4,1670.98,6,30,2021,,,
B00031,Female,22,College or CEGEP certificate or diploma,Canadian-born,Married,3,Healthcare,Employed,142837.46,10,2,16,Contract,274000,71351.61,202648.39,116255.31,0,0,0,682,33.68,1164274,783021,67.25,1608.78,2.85,25,2022,,,
B00032,Male,23,University certificate or diploma below a bachelor's degree,Canadian-born,Single,0,Finance,Student,176890.31,10,1,18,Salaried,319000,229541.22,89458.78,58813.57,1,237500.29,0,668,21.77,637992,460912,72.24,1650.68,2.3,30,2023,,,
B00033,Male,23,College or CEGEP certificate or diploma,Canadian-born,Single,0,Education,Unemployed,43206.37,5,4,7,Salaried,190000,145508.81,44491.19,92649.89,1,148920.22,0,648,11.63,991321,736332,74.28,1345.91,3.41,30,2024,,,
B00034,Female,19,College or CEGEP certificate or diploma,Canadian-born,Married,1,Construction,Self-employed,156313.3,10,5,23,Hourly,303000,185291.15,117708.85,136327.01,2,190313.6,0,700,15.74,877627,786216,89.58,838.21,4.2,30,2023,,,
B00035,Female,19,Master's degree,Canadian-born,Married,0,Tech,Employed,74499.08,8,10,23,Salaried,243000,160684.21,82315.79,86950.4,1,171688.79,0,623,10.43,732357,677641,92.53,1589.26,4.92,30,2024,,,
B00036,Female,20,Trades or apprenticeship certificate,Canadian-born,Single,3,Education,Employed,133859.33,10,8,15,Salaried,304000,84189.54,219810.46,60255.64,0,0,0,666,39.73,944377,764338,80.94,506.56,7.04,30,2022,,,
B00037,Male,24,High school diploma or equivalent,Canadian-born,Single,1,Manual Labor,Employed,48132.1,4,21,39,Salaried,202000,103134.3,98865.7,20424.95,1,102224.73,0,629,19.19,871722,628522,72.1,942.62,6.94,25,2021,,,
B00038,Male,21,Bachelor's degree,Canadian-born,Married,2,Construction,Employed,53540.56,6,16,29,Hourly,246000,85917.86,160082.14,70228.57,0,0,0,703,34.16,745591,560620,75.19,1589.69,4.41,25,2023,,,
B00039,Female,24,University certificate or diploma below a bachelor's degree,Canadian-born,Married,1,Other,Employed,65582.24,7,5,7,Hourly,212000,143324.63,68675.37,64442.83,1,154081.09,0,674,8.25,860272,690600,80.28,2472.9,6.47,15,2021,,,
B00040,Male,19,College or CEGEP certificate or diploma,Long-term immigrant,Single,1,Construction,Employed,15791.12,1,4,16,Salaried,134000,90612.49,43387.51,52979.55,4,99634.37,1,725,20.73,765400,627946,82.04,1632.33,4.82,25,2023,,,
B00041,Male,20,College or CEGEP certificate or diploma,Canadian-born,Married,0,Tech,Employed,58663.71,7,7,10,Contract,222000,95110.58,126889.42,24858.6,0,0,0,634,13.65,811960,618081,76.12,444.18,3.34,30,2024,,,
B00042,Female,24,College or CEGEP certificate or diploma,Canadian-born,Single,2,Finance,Employed,154781.89,10,2,2,Salaried,335000,210315.19,124684.81,102523.61,2,218345.65,1,703,23.18,1230162,1055902,85.83,1271.7,4.2,30,2022,,,
B00043,Male,18,High school diploma or equivalent,Canadian-born,Single,2,Manual Labor,Employed,144231.98,10,2,18,Hourly,339000,173721.68,165278.32,136443.02,1,185436.85,0,631,12.45,656752,495050,75.38,2232.05,3.47,30,2024,,,
B00044,Female,22,Bachelor's degree,Recent immigrant,Single,1,Construction,Employed,52395.73,4,7,13,Hourly,188000,95452.2,92547.8,51393.22,3,107560.52,0,691,7.74,1010753,797902,78.94,1158.41,5.56,30,2021,,,
B00045,Male,24,College or CEGEP certificate or diploma,Canadian-born,Married,1,Tech,Employed,50558.6,5,14,22,Salaried,202000,121338.24,80661.76,57225.48,2,133087.01,0,681,23.78,692689,612748,88.46,1551.77,4.87,20,2018,,,
B00046,Female,21,University certificate or diploma below a bachelor's degree,Long-term immigrant,Married,0,Manufacturing,Self-employed,136209.06,10,11,28,Hourly,296000,163277.75,132722.25,125648.45,3,177743.95,0,707,31.62,925817,819167,88.48,1387.3,5.75,30,2024,,,
B00047,Male,20,University certificate or diploma above a bachelor's degree,Canadian-born,Married,0,Education,Employed,27362.01,2,1,2,Salaried,170000,50975.74,119024.26,48556.62,2,62971.89,1,663,5.03,880414,757531,86.04,1738.97,4.86,25,2023,,,
B00048,Female,24,University certificate or diploma above a bachelor's degree,Canadian-born,Married,2,Logistics,Employed,63153.13,7,2,13,Salaried,243000,139336.1,103663.9,87031.53,1,140889.01,0,669,38.8,1164589,1075025,92.31,1472.77,3.6,30,2018,,,
B00049,Female,23,Trades or apprenticeship certificate,Canadian-born,Married,1,Healthcare,Retired,158631.46,10,2,2,Salaried,306000,140001.97,165998.03,124724.76,1,154895.63,0,755,18.99,925537,629275,67.99,1184.33,6.72,15,2019,,,
B00050,Male,18,High school diploma or equivalent,Canadian-born,Single,1,Logistics,Employed,84171.06,9,3,13,Salaried,275000,129338.78,145661.22,122246.65,1,154749.86,0,651,35.35,950012,580403,61.09,1409.57,2.87,30,2024,,,
B00051,Female,22,University certificate or diploma below a bachelor's degree,Canadian-born,Single,3,Finance,Employed,143988.32,10,1,16,Contract,301000,204324.85,96675.15,116452.06,1,211734.03,0,618,5.25,905239,687801,75.98,1951.41,5.44,25,2024,,,
B00052,Female,18,Trades or apprenticeship certificate,Canadian-born,Widowed,1,Retail,Employed,132921.37,10,2,16,Contract,311000,202453.32,108546.68,47334.8,3,208443.02,0,653,11.14,828880,508934,61.4,1796.04,3.7,25,2024,,,
B00053,Female,20,Bachelor's degree,Long-term immigrant,Married,1,Healthcare,Employed,77617.77,9,6,21,Salaried,289000,182379.14,106620.86,112489.85,0,0,0,602,22.23,959406,882556,91.99,2458.3,4.9,30,2022,,,
B00054,Female,19,University certificate or diploma below a bachelor's degree,Canadian-born,Married,0,Manufacturing,Unemployed,67116.28,7,2,15,Salaried,258000,181145.4,76854.6,29507.96,4,188237.28,0,732,38.23,1001307,805647,80.46,976.09,4.28,25,2023,,,
B00055,Female,22,Master's degree,Canadian-born,Single,3,Manufacturing,Student,75404.72,9,13,13,Salaried,285000,91001.47,193998.53,113816.05,1,99425.52,0,657,34.53,995831,663261,66.6,1263.43,4.29,15,2024,,,
B00056,Female,18,High school diploma or equivalent,Canadian-born,Single,2,Education,Unemployed,141102.83,10,3,9,Salaried,297000,148393.58,148606.42,71456.67,3,159948.04,0,698,20.71,1038377,674128,64.92,1199.34,6.33,15,2024,,,
B00057,Male,19,University certificate or diploma above a bachelor's degree,Canadian-born,Married,0,Logistics,Self-employed,54498.89,6,1,8,Hourly,226000,175445.19,50554.81,45308.81,1,191139.13,0,687,24.57,884551,757233,85.61,533.09,5.24,30,2024,,,
B00058,Male,21,Bachelor's degree,Canadian-born,Single,2,Logistics,Self-employed,62457,7,9,24,Salaried,245000,63841.97,181158.03,114681.98,2,66535.15,1,706,32.17,787831,704259,89.39,1196.49,5.75,30,2023,,,
B00059,Male,20,Master's degree,Canadian-born,Married,1,Logistics,Employed,88075.94,9,12,12,Salaried,266000,202740.69,63259.31,124671.84,2,212240.37,0,614,27.05,915846,551152,60.18,1346.81,3.75,25,2023,,,
B00060,Male,20,Master's degree,Canadian-born,Married,3,Other,Employed,49913.14,5,12,30,Salaried,158000,45315.29,112684.71,33667.29,4,55652.29,0,667,14.56,967674,823299,85.08,1009.97,6.97,25,2022,,,
B00061,Male,22,College or CEGEP certificate or diploma,Canadian-born,Single,3,Construction,Employed,87371.22,9,4,8,Salaried,261000,58614.44,202385.56,83084.69,2,64139.98,0,710,46.19,801683,509010,63.49,1229.42,3.36,25,2023,,,
B00062,Male,18,High school diploma or equivalent,Canadian-born,Single,2,Logistics,Employed,44940.08,4,12,26,Salaried,155000,48977.46,106022.54,38276.06,4,61940.4,0,722,1.11,1077280,835824,77.59,2334.82,5.41,20,2024,,,
B00063,Female,21,College or CEGEP certificate or diploma,Canadian-born,Single,2,Tech,Unemployed,65046.01,7,6,8,Salaried,258000,121413.81,136586.19,39177.47,2,129836.26,0,710,41.18,764505,700423,91.62,2168.06,4.18,20,2023,,,
B00064,Male,23,University certificate or diploma above a bachelor's degree,Canadian-born,Single,0,Finance,Employed,45966.07,3,1,1,Hourly,141000,51132.89,89867.11,35951.43,1,70864.97,0,775,27.78,1002996,741072,73.89,1481.51,4.92,20,2022,,,
B00065,Male,22,Bachelor's degree,Canadian-born,Married,2,Finance,Employed,122536.91,10,4,10,Salaried,329000,155161.76,173838.24,124391.29,1,169358.9,0,705,18.22,1151486,723662,62.85,1191.98,4.6,15,2021,,,
B00066,Female,23,College or CEGEP certificate or diploma,Canadian-born,Single,2,Education,Employed,50674.66,6,3,11,Contract,205000,99002.24,105997.76,29461.43,3,102556.22,0,703,48.79,798522,626753,78.49,1544.43,5.94,30,2022,,,
B00067,Male,22,High school diploma or equivalent,Canadian-born,Single,1,Construction,Retired,132392.44,10,3,3,Salaried,312000,248160.69,63839.31,67750.25,2,250568.93,1,745,30.37,799094,632950,79.21,2218.94,5.06,25,2024,,,
B00068,Female,18,High school diploma or equivalent,Canadian-born,Divorced,2,Retail,Student,125796.08,10,3,4,Salaried,338000,179743.4,158256.6,50732.58,3,199098.08,1,710,18.38,660121,524457,79.45,1518.01,6.32,30,2024,,,
B00069,Male,21,College or CEGEP certificate or diploma,Canadian-born,Married,3,Logistics,Retired,63948.79,6,1,17,Salaried,232000,153447.88,78552.12,32522.09,2,165279.03,0,737,55.72,630611,535801,84.97,1265.82,4.52,15,2022,,,
B00070,Female,18,"No certificate, diploma or degree",Canadian-born,Single,0,Tech,Retired,87883.73,8,3,19,Contract,299000,76544.41,222455.59,38712.75,2,91475.8,0,669,32.17,1000614,883425,88.29,2122.05,4.79,25,2024,,,
B00071,Female,20,Bachelor's degree,Long-term immigrant,Married,0,Tech,Self-employed,62392.22,7,4,6,Salaried,221000,124081.51,96918.49,58547.83,1,142320.98,0,596,51.52,1102759,968567,87.83,1041.17,5.06,20,2023,,,
B00072,Male,23,Trades or apprenticeship certificate,Long-term immigrant,Divorced,2,Manufacturing,Employed,144789.84,10,2,18,Salaried,324000,118656.94,205343.06,120127.03,1,124981.67,0,712,55.72,864336,671111,77.64,684.19,7.13,20,2023,,,
B00073,Male,19,Bachelor's degree,Long-term immigrant,Single,3,Manual Labor,Employed,92855.29,9,1,10,Contract,266000,95258.86,170741.14,73375.08,0,0,0,671,28,880995,623655,70.79,1484.71,3.42,30,2024,,,
B00074,Female,24,High school diploma or equivalent,Canadian-born,Married,3,Logistics,Employed,85136.9,9,1,2,Salaried,300000,239091.56,60908.44,61442.26,1,250807.84,0,714,24.78,891783,607962,68.17,828.21,4,20,2024,,,
B00075,Female,20,University certificate or diploma above a bachelor's degree,Canadian-born,Married,2,Education,Self-employed,94709.94,9,1,7,Salaried,279000,108263,170737,110151.1,0,0,0,631,35.2,1029821,885908,86.03,2001.44,5.24,25,2024,,,
B00076,Female,20,Bachelor's degree,Canadian-born,Single,3,Finance,Student,70392.58,7,3,5,Salaried,245000,177103.23,67896.77,56115.61,3,183391.57,0,701,12.61,1036472,853826,82.38,1711.52,3.44,25,2023,,,
B00077,Female,23,College or CEGEP certificate or diploma,Canadian-born,Married,2,Logistics,Employed,54155.03,7,2,13,Salaried,240000,114382.98,125617.02,29068.54,0,0,0,674,5.45,725029,487266,67.21,2088.06,3.29,25,2023,,,
B00078,Male,22,Bachelor's degree,Canadian-born,Widowed,0,Other,Employed,50360.86,6,6,12,Salaried,214000,91746.75,122253.25,25090.44,2,95208.98,0,699,11.11,1308280,981867,75.05,1868.64,7,20,2024,,,
B00079,Male,20,High school diploma or equivalent,Canadian-born,Divorced,2,Manual Labor,Employed,41452.81,4,2,11,Salaried,183000,52077.02,130922.98,81796.28,1,59402.98,0,629,26.7,826488,778585,94.2,1113.76,2.96,20,2022,,,
B00080,Male,24,Master's degree,Recent immigrant,Single,0,Finance,Employed,55268.27,6,13,16,Salaried,229000,136895.02,92104.98,26747.57,5,148885.64,0,685,64.49,958456,711587,74.24,1383.42,4.47,30,2023,,,
B00081,Female,21,Bachelor's degree,Canadian-born,Single,0,Manual Labor,Employed,89895.78,9,1,1,Hourly,250000,130165.86,119834.14,50781.14,1,140450,0,752,42.99,733487,538733,73.45,1572.76,5.41,25,2024,,,
B00082,Female,20,Bachelor's degree,Canadian-born,Widowed,1,Retail,Employed,51853.01,6,2,15,Salaried,214000,122314.28,91685.72,50223.99,1,137313.19,0,637,34.43,972724,847124,87.09,1665.78,5.7,25,2022,,,
B00083,Male,21,High school diploma or equivalent,Canadian-born,Married,1,Logistics,Employed,38259.42,4,7,10,Salaried,193000,135115.88,57884.12,44967.9,0,0,0,686,24.9,816983,730814,89.45,1384.84,6.16,20,2021,,,
B00084,Male,18,"No certificate, diploma or degree",Canadian-born,Single,1,Healthcare,Self-employed,132724.84,10,6,17,Contract,303000,205228.39,97771.61,131027.54,4,217574.43,0,627,57.14,909828,672951,73.96,897.83,5.2,20,2024,,,
B00085,Male,22,University certificate or diploma below a bachelor's degree,Canadian-born,Married,0,Manual Labor,Employed,66068.12,8,3,3,Salaried,279000,72707.81,206292.19,72749.5,0,0,0,682,43.28,1017127,757794,74.5,1975.99,4.88,20,2020,,,
B00086,Male,21,High school diploma or equivalent,Canadian-born,Single,0,Finance,Employed,31683.49,2,10,23,Hourly,111000,25362.51,85637.49,44865.48,3,35617.72,0,683,41.13,939656,826572,87.97,2045.47,5.17,25,2024,,,
B00087,Female,20,Bachelor's degree,Recent immigrant,Single,0,Logistics,Employed,152026.42,10,1,4,Hourly,306000,157682.84,148317.16,40694.99,0,0,0,650,42.07,588238,484197,82.31,1895.83,4.75,30,2024,,,
B00088,Female,22,College or CEGEP certificate or diploma,Canadian-born,Divorced,1,Construction,Self-employed,94644.38,9,4,10,Salaried,295000,81072.54,213927.46,123820.12,3,90141.01,0,629,26.21,780610,493351,63.2,1274.14,5.58,25,2023,,,
B00089,Female,24,College or CEGEP certificate or diploma,Canadian-born,Single,2,Education,Employed,71627.69,7,2,10,Hourly,234000,183438.12,50561.88,62627.15,1,185043.77,0,630,6.23,1033077,906061,87.71,1617.3,3.68,25,2023,,,
B00090,Male,22,High school diploma or equivalent,Recent immigrant,Single,3,Manual Labor,Employed,85375.63,9,3,16,Salaried,272000,163056.27,108943.73,68001.1,5,178546.56,0,736,15.97,919285,623027,67.77,1980.5,3.36,25,2020,,,
B00091,Male,21,Bachelor's degree,Canadian-born,Single,3,Retail,Employed,131659.44,10,6,23,Salaried,327000,237237.54,89762.46,96657.79,4,254729.78,0,571,20.18,1122872,957944,85.31,1958.7,4.46,25,2022,,,
B00092,Female,21,Bachelor's degree,Canadian-born,Married,1,Retail,Employed,51801.15,5,1,5,Salaried,142000,30713.19,111286.81,42009.76,1,33992.44,0,659,17.58,1013922,653271,64.43,1850.06,5.51,25,2021,,,
B00093,Female,19,High school diploma or equivalent,Canadian-born,Single,2,Manufacturing,Employed,80601.66,8,1,20,Contract,250000,118715.94,131284.06,119733.03,2,134789.66,0,602,23.93,802535,571124,71.17,2173.44,5.95,30,2024,,,
B00094,Female,19,College or CEGEP certificate or diploma,Canadian-born,Married,0,Manual Labor,Employed,142676.93,10,3,19,Salaried,289000,137696.11,151303.89,85510.01,2,153676.18,0,679,42.22,788567,738946,93.71,1527.05,4.64,25,2024,,,
B00095,Female,22,College or CEGEP certificate or diploma,Canadian-born,Married,0,Construction,Self-employed,36950.95,3,2,7,Hourly,172000,59531.39,112468.61,28059.35,3,70391.74,1,684,20.6,646837,579133,89.53,2008.65,5.28,30,2021,,,
B00096,Female,23,College or CEGEP certificate or diploma,Canadian-born,Married,2,Retail,Employed,92330.24,9,6,10,Salaried,300000,75391.3,224608.7,40313.17,2,81096.2,0,684,5.45,973158,743804,76.43,1020.91,5.1,30,2024,,,
B00097,Female,23,Master's degree,Canadian-born,Single,2,Construction,Unemployed,97879.22,9,1,10,Salaried,301000,110511.95,190488.05,97071.89,3,113253.42,1,639,5.4,1027269,690336,67.2,1997.56,5.46,15,2024,,,
B00098,Male,19,Bachelor's degree,Canadian-born,Married,3,Tech,Employed,82958.62,8,16,32,Salaried,248000,151099.34,96900.66,108987.33,0,0,0,663,46.7,1073104,767112,71.49,1540.76,5.05,25,2024,,,
B00099,Male,20,Master's degree,Canadian-born,Single,2,Construction,Retired,134480.98,10,5,23,Salaried,305000,67281.48,237718.52,69051.56,2,71269.9,0,777,1.83,1026482,846049,82.42,1223.99,5.32,30,2023,,,
B00100,Male,18,Trades or apprenticeship certificate,Canadian-born,Married,0,Healthcare,Self-employed,94790.33,9,4,7,Salaried,270000,134837.86,135162.14,116145.87,2,143027.49,0,721,56,914714,564944,61.76,1632.85,5.39,25,2024,,,
B00101,Male,22,Bachelor's degree,Canadian-born,Married,3,Logistics,Unemployed,45005.26,6,3,16,Salaried,241000,112274.52,128725.48,54839.61,2,131848.61,0,670,20.47,936131,789209,84.31,2001.75,5.84,20,2022,,,
B00102,Female,18,Trades or apprenticeship certificate,Canadian-born,Single,2,Manual Labor,Retired,35617.58,4,7,26,Contract,186000,66588.39,119411.61,59305.31,0,0,0,665,18.11,817973,590748,72.22,1620.62,4.02,25,2024,,,
B00103,Male,19,University certificate or diploma above a bachelor's degree,Canadian-born,Married,3,Finance,Employed,132866.8,10,2,15,Salaried,299000,113163.79,185836.21,127155.04,3,123950.54,0,644,27.24,913117,797703,87.36,1663.28,5.41,30,2024,,,
B00104,Female,21,University certificate or diploma below a bachelor's degree,Canadian-born,Single,2,Healthcare,Employed,70035.74,8,7,10,Salaried,264000,87272.62,176727.38,66402.68,5,100388.1,0,702,27.08,889149,789842,88.83,1810.86,5.02,30,2024,,,
B00105,Female,24,High school diploma or equivalent,Canadian-born,Single,0,Education,Student,104836.15,9,6,8,Salaried,299000,176023.81,122976.19,69603.25,2,190266.52,0,647,46.73,936004,610778,65.25,1912.91,3.84,30,2022,,,
B00106,Male,22,Bachelor's degree,Canadian-born,Single,0,Education,Employed,72585.46,8,4,5,Salaried,266000,128373.59,137626.41,34661.2,2,138531.78,0,735,35.3,936649,862180,92.05,1592.91,5.6,25,2022,,,
B00107,Male,19,College or CEGEP certificate or diploma,Canadian-born,Married,0,Manual Labor,Employed,92514.82,9,10,27,Salaried,274000,182278.89,91721.11,128798.07,5,191928.03,0,665,35.72,1013888,719265,70.94,2605.68,5,20,2023,,,
B00108,Female,20,Master's degree,Canadian-born,Single,0,Manufacturing,Self-employed,43600.06,4,2,18,Hourly,176000,109577.12,66422.88,86991.47,1,106901.96,0,672,20.86,869807,607327,69.82,1766.94,5.4,25,2022,,,
B00109,Male,24,College or CEGEP certificate or diploma,Canadian-born,Single,0,Manufacturing,Student,42800.36,5,1,16,Contract,215000,114236.18,100763.82,72321.16,2,113250.66,0,677,15.77,833864,632324,75.83,2078.31,5.23,25,2018,,,
B00110,Male,22,High school diploma or equivalent,Canadian-born,Single,1,Manual Labor,Self-employed,141693.66,10,3,16,Hourly,280000,219047.48,60952.52,119598.92,1,225013.64,0,705,21.03,980759,919413,93.75,1456.75,5.93,20,2020,,,
B00111,Male,22,Trades or apprenticeship certificate,Canadian-born,Married,3,Finance,Self-employed,28393.87,2,10,25,Salaried,159000,69215.11,89784.89,55422.08,3,83625.44,0,701,17,1005487,709665,70.58,1136.4,4.4,25,2024,,,
B00112,Male,23,Master's degree,Long-term immigrant,Married,3,Construction,Employed,75172.15,7,1,16,Salaried,201000,145780.94,55219.06,46075.72,4,157804.94,0,751,37.25,976249,746172,76.43,2297.27,4.9,20,2022,,,
B00113,Female,21,Bachelor's degree,Canadian-born,Single,2,Logistics,Self-employed,40336.04,4,7,12,Salaried,181000,87993.56,93006.44,42101.03,4,98475.31,0,581,13.57,701419,543064,77.42,1210.96,7.72,20,2024,,,
B00114,Female,22,Bachelor's degree,Canadian-born,Single,0,Other,Employed,79454.96,8,8,13,Salaried,247000,82330.14,164669.86,94619.42,3,96003.39,0,648,26.82,1018181,637229,62.59,1559.17,4.34,30,2022,,,
